Id;Designator;Footprint;Quantity;Comment;Supplier and ref
1;R5,R7;R_0402_1005Metric;2;1K;
2;SW1;SW_Push_SPST_NO_Alps_SKRK;1;SW_Push;
3;C17,C9,C3,C2,C7,C6,C8,C11,C12,C4,C5;C_0402_1005Metric;11;0.1uF;
4;R3,R4;R_0402_1005Metric;2;27;
5;R6;R_0402_1005Metric;1;10K;
6;C16,C15;C_0603_1608Metric;2;33pF;
7;U3;Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm;1;W25Q128JVS;
8;C1,C10;C_0402_1005Metric;2;1uF;
9;R1,R2;R_0402_1005Metric;2;5.1K;
10;J2,J3;PinHeader_1x20_P2.54mm_Vertical;2;Conn_01x20;
11;C13,C14;C_0603_1608Metric;2;10uF;
12;J4;PinHeader_1x03_P2.54mm_Vertical;1;Conn_01x03;
13;Y1;Crystal_SMD_3225-4Pin_3.2x2.5mm;1;12 MHz;
14;U1;QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm;1;RP2040;
15;U4;SOT-23;1;MCP1700x-330xxTT;
16;J1;USB_C_Receptacle_HRO_TYPE-C-31-M-12;1;USB_C_Receptacle_USB2.0_14P;
